task_id,sub_plan,task_name,priority,status,depends_on,notes
3.5,3_تصميم_المحتوى,"جدول أساليب التفاعل (3 أنواع × أدوات Classroom)",عالية,pending,,
3.6,3_تصميم_المحتوى,"جدول الأنشطة (4 أنشطة × 4 مجموعات)",عالية,pending,3.1;3.2;3.3;3.4,
3.7,3_تصميم_المحتوى,جدول تتابعات 21 يوم,عالية,pending,3.6,
3.8,3_تصميم_المحتوى,جدول الوسائط,متوسطة,pending,,
3.9,3_تصميم_المحتوى,وصف كل وسيط,متوسطة,pending,3.8,
3.10,3_تصميم_المحتوى,4 نسخ تعليمات (واحدة لكل مجموعة),متوسطة,pending,,
3.11,3_تصميم_المحتوى,وصف Google Classroom + لقطات,عالية,pending,,
3.12,3_تصميم_المحتوى,سيناريو المحتوى الكامل (جدول شاشة بشاشة),عالية,pending,3.1;3.2;3.3;3.4;3.5;3.6;3.7,
4.1,4_تطوير_المحتوى,وصف المقدمة في البيئة,عالية,pending,,
4.2,4_تطوير_المحتوى,وصف الأدوات القبلية: اختبار حل مشكلات + مقياس تدفق (Forms),عالية,pending,,
4.3,4_تطوير_المحتوى,وصف عرض الأهداف (ABCD),متوسطة,pending,,
4.4,4_تطوير_المحتوى,وصف النصوص التعليمية (كتاب الفلسفة صف أول ثانوي),عالية,pending,,
4.5,4_تطوير_المحتوى,"وصف أنشطة الحشد: م1+م2(فردي) م3+م4(مشترك) × deadline/لا",عالية,pending,,
4.6,4_تطوير_المحتوى,إعداد الوسائط (فيديو+إنفوجرافيك+صور),متوسطة,pending,,
4.7,4_تطوير_المحتوى,وصف الخاتمة (ملخص+تدريبات+بعدي+مراجع),متوسطة,pending,,
4.8,4_تطوير_المحتوى,"مقياس التدفق (2-3 صفحات): 8 أبعاد أباظة + ليكرت + محكمين + صدق + ثبات",عالية,pending,,
4.9,4_تطوير_المحتوى,"اختبار مهارات حل المشكلات (3-4 صفحات): 5 مهارات + جدول مواصفات + محكمين + تحليل + صدق + ثبات",عالية,pending,,ليس تحصيلي!
4.10,4_تطوير_المحتوى,لقطات شاشة (6-8) بعد بناء البيئة,عالية,pending,,
5.1,5_التقويم,عرض على 5-7 محكمين + ملحق الأسماء,عالية,pending,,
5.2,5_التقويم,جدول معايير تحكيم (6 محاور),عالية,pending,,
5.3,5_التقويم,جدول نتائج + قبل/بعد التعديل,عالية,pending,5.1,
5.4,5_التقويم,فقرة التعديلات + ختام,عالية,pending,5.3,
5.5,5_التقويم,"استطلاعية: 20 طالب من خارج الـ80 + اختبار حل مشكلات + مقياس تدفق + تجربة البيئة",عالية,pending,5.4,
5.6,5_التقويم,"صدق: محتوى + اتساق داخلي (بيرسون مفردة↔مهارة/بُعد) — لكلا الأداتين",عالية,pending,5.5,
5.7,5_التقويم,"ثبات: ألفا ≥0.70 + تجزئة نصفية — لكل أداة + لكل مهارة/بُعد",عالية,pending,5.5,
5.8,5_التقويم,زمن اختبار حل المشكلات: (أول+آخر)÷2,متوسطة,pending,5.5,
5.9,5_التقويم,سهولة/صعوبة: 0.20-0.80 + جدول,متوسطة,pending,5.5,
5.10,5_التقويم,تمييز: 27% عليا/دنيا + ≥0.20,متوسطة,pending,5.5,
5.11,5_التقويم,النسخة النهائية + جاهزة للتطبيق,عالية,pending,5.4;5.7,
6.1,6_النشر,"4 فصول: م1(تنافسي+مفتوح) م2(تنافسي+محدد) م3(تشاركي+مفتوح) م4(تشاركي+محدد)",عالية,pending,,
6.2,6_النشر,آلية الدعوة (4 أكواد + معلم + Google),عالية,pending,6.1,
6.3,6_النشر,صلاحيات (Owner+Co-teacher+Student),متوسطة,pending,6.1,
6.4,6_النشر,صيانة يومية + قنوات تواصل,متوسطة,pending,,
6.5,6_النشر,"التجربة: 80÷4 عشوائياً + ANOVA تجانس + 21 يوم",عالية,pending,6.2,
6.6,6_النشر,"ضبط 8 متغيرات (4 ANOVA + 4 تجريبي) + جدول",عالية,pending,,
6.7,6_النشر,"الإحصاء: 6 فروض × 2×2 ANOVA + η² + شيفيه + كل الأساليب",عالية,pending,,
